package,number_of_classes,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.apache.commons.math4.random,14,93,0.07910906298003072,0.15821812596006146,0.7113136979897148,0.8571428571428571,0.09646518879913182,9.333333333333334
org.apache.commons.math4.optim.nonlinear.scalar,28,120,0.15119047619047618,0.3023809523809524,0.8637254901960785,0.75,0.19588060224089637,0.31868131868131866
org.apache.commons.math4.transform,9,52,0.29273504273504275,0.5854700854700855,0.9155354449472096,0.8888888888888888,0.476460991292565,0.10638297872340426
org.apache.commons.math4.exception,31,1147,0.18227072025198976,0.3645414405039795,0.930993821046177,1.0,0.33938582862447747,0.007023705004389816
org.apache.commons.math4.stat.inference,10,126,0.11904761904761904,0.23809523809523814,0.7832380952380953,1.0,0.1864852607709751,5.3
org.apache.commons.math4.ode.sampling,13,318,0.11320754716981132,0.2264150943396226,0.7100371009662123,0.9230769230769231,0.14839672356913577,3.0253164556962027
org.apache.commons.math4.geometry.spherical.twod,9,31,0.3763440860215054,0.7526881720430108,0.8602150537634409,0.8888888888888888,0.575532174560964,0.34782608695652173
org.apache.commons.math4.filter,4,5,0.8,0.3999999999999999,0.4,0.5,0.07999999999999999,0.0
org.apache.commons.math4.optim.univariate,11,41,0.48558758314855877,0.9711751662971175,0.7963414634146342,0.9090909090909091,0.7030791392372703,0.05128205128205128
org.apache.commons.math4.geometry.euclidean.threed,22,299,0.10018242626938278,0.20036485253876557,0.9341877847859756,1.0,0.18717839774215808,0.40375586854460094
org.apache.commons.math4.analysis.differentiation,9,402,0.19347705914870095,0.3869541182974019,0.505626481061029,0.7777777777777778,0.15217552712972438,0.4833948339483395
org.apache.commons.math4.ode.events,12,63,0.13095238095238096,0.26190476190476186,0.7373271889400922,0.75,0.14483212639894666,2.5
org.apache.commons.math4.ml.neuralnet,17,69,0.17561807331628304,0.3512361466325661,0.8887468030690537,0.8235294117647058,0.2570729431875183,0.4375
org.apache.commons.math4.geometry,83,630,0.06144578313253012,0.12289156626506026,0.9788275670628612,0.9036144578313253,0.10869546941545782,0.2830957230142566
org.apache.commons.math4.stat.correlation,6,63,0.22486772486772486,0.44973544973544977,0.840757808499744,1.0,0.3781185911242235,2.7058823529411766
org.apache.commons.math4.util,34,4595,0.06775907316136466,0.1355181463227293,0.9197305659129593,1.0,0.12464018140887904,0.6955719557195572
org.apache.commons.math4.optim.nonlinear.scalar.gradient,3,14,0.6666666666666666,0.6666666666666667,0.2637362637362637,1.0,0.1758241758241758,0.0
org.apache.commons.math4.analysis,146,1106,0.01867769823379326,0.037355396467586566,0.9501575118849876,0.910958904109589,0.032333129485581286,0.4786096256684492
org.apache.commons.math4.fraction,10,323,0.19411764705882353,0.388235294117647,0.6577120550737457,0.8,0.2042776265170222,0.3803418803418803
org.apache.commons.math4.geometry.euclidean.oned,9,172,0.3488372093023256,0.6976744186046512,0.8420372637018904,0.8888888888888888,0.522193651908149,0.31297709923664124
org.apache.commons.math4.geometry.euclidean.twod,17,264,0.1662210338680927,0.33244206773618545,0.8633195068556285,0.9411764705882353,0.2701211500951239,0.660377358490566
org.apache.commons.math4.geometry.spherical.oned,6,59,0.5508474576271186,0.8983050847457628,0.7492694330800702,1.0,0.6730725415804021,0.5128205128205128
org.apache.commons.math4.stat.ranking,3,23,0.36231884057971014,0.7246376811594203,0.24505928853754944,1.0,0.17757919459242713,22.0
org.apache.commons.math4.stat.interval,6,28,0.39880952380952384,0.7976190476190477,0.8862433862433863,1.0,0.7068846056941296,0.0
org.apache.commons.math4.geometry.euclidean.twod.hull,5,33,0.6909090909090909,0.6181818181818182,0.6003787878787878,0.8,0.29691460055096414,0.0
org.apache.commons.math4.stat.descriptive.summary,4,290,0.5112068965517241,0.9775862068965517,0.6494929006085193,1.0,0.6349353011121215,0.8954248366013072
org.apache.commons.math4.fitting,26,168,0.3021978021978022,0.6043956043956044,0.8773167949814656,0.8076923076923077,0.42827595021284565,0.0
org.apache.commons.math4.ml.neuralnet.sofm.util,2,28,0.5,1.0,0.49470899470899465,1.0,0.49470899470899465,-1
org.apache.commons.math4.stat,79,843,0.06112887967926483,0.12225775935852967,0.9815245292375663,0.9620253164556962,0.11544206604052605,0.2342606149341142
org.apache.commons.math4,859,5457,0.010024611935882248,0.020049223871764443,0.9983013020484868,0.8987194412107101,0.01798801906949989,0.05878928987194412
org.apache.commons.math4.exception.util,4,1147,0.5006538796861377,0.9986922406277245,0.03107583178517137,1.0,0.031035192074903056,0.007023705004389816
org.apache.commons.math4.stat.data,2,2,0.5,1.0,1.0,1.0,1.0,-1
org.apache.commons.math4.ml.neuralnet.oned,1,8,1.0,0.0,0.0,1.0,0.0,-1
org.apache.commons.math4.dfp,5,190,0.5189473684210526,0.9621052631578948,0.5048732943469786,0.8,0.3885930029752745,0.0
org.apache.commons.math4.ml.neuralnet.sofm,8,32,0.24609375,0.4921875,0.9032258064516129,0.75,0.3334173387096774,0.6842105263157895
org.apache.commons.math4.distribution.fitting,1,9,1.0,0.0,0.0,1.0,0.0,-1
org.apache.commons.math4.ml.neuralnet.twod.util,1,1,1.0,0.0,0,1.0,0.0,-1
org.apache.commons.math4.geometry.enclosing,2,29,0.7413793103448276,0.5172413793103448,0.5172413793103448,1.0,0.26753864447086795,1.0714285714285714
org.apache.commons.math4.ml.clustering.evaluation,2,3,1.0,0.0,0.0,0.5,0.0,0.0
org.apache.commons.math4.ml.neuralnet.twod,2,25,0.52,0.96,0.07999999999999996,1.0,0.07679999999999997,24.0
