package,number_of_classes,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.junit.tests.running.methods,4,8,0.25,0.5,0.75,1.0,0.375,-1
junit.tests.framework,3,2,0.5,1.0,1.0,1.0,1.0,1.0
org.junit.runner.notification,9,986,0.35823754789272033,0.7164750957854407,0.3512731541067329,0.7777777777777778,0.19574991857203633,0.0
junit.framework,11,227,0.35522627152583097,0.7104525430516619,0.8946629761022962,1.0,0.6356155865460446,0.0
org.junit.internal.management,3,2,0.6666666666666666,0.6666666666666667,0.0,0.6666666666666666,0.0,0.0
org.junit.tests.running.classes,12,19,0.08771929824561403,0.17543859649122806,0.8654970760233918,0.75,0.11388119421360418,18.0
org.junit.runners.model,17,872,0.22814355099838102,0.45628710199676203,0.8745747269299234,0.7647058823529411,0.30516136348211975,0.4155844155844156
org.junit.tests.assertion,3,11,0.3333333333333333,0.6666666666666666,0.32727272727272727,1.0,0.21818181818181817,-1
org.junit.internal.matchers,3,48,0.5347222222222222,0.9305555555555556,0.6037234042553192,1.0,0.5617981678486998,0.8461538461538461
org.junit.runner.manipulation,3,85,0.3803921568627451,0.7607843137254902,0.37478991596638656,1.0,0.28513428900972154,6.083333333333333
org.junit.internal.runners.model,3,867,0.6708958093041139,0.6582083813917723,0.03860302441857055,1.0,0.025408834219374385,0.003472222222222222
junit.tests,85,131,0.01347103726986978,0.026942074539739513,0.9709923664122138,0.611764705882353,0.016004100389371625,12.1
junit.tests.runner,5,11,0.2,0.4,0.7818181818181819,1.0,0.31272727272727274,-1
org.junit.tests.experimental.theories,16,26,0.07932692307692307,0.15865384615384615,0.7415384615384615,0.625,0.07352995562130177,5.5
org.junit.runner,58,986,0.20100370707141357,0.40200741414282715,0.9358964590562289,0.7758620689655172,0.29190826195651776,0.0
org.junit.experimental.runners,1,6,1.0,0.0,0.0,1.0,0.0,-1
org.junit.internal.runners.rules,2,447,0.529082774049217,0.941834451901566,0.10981029484054128,1.0,0.10342311885429055,16.192307692307693
org.junit.tests.experimental.max,3,3,0.3333333333333333,0.6666666666666666,0.6666666666666667,1.0,0.4444444444444445,-1
org.junit.tests.experimental.results,2,1,0.5,1.0,0,1.0,0.0,-1
org.junit.runners.parameterized,5,38,0.4473684210526316,0.8947368421052632,0.5106685633001422,0.8,0.36553118215168073,0.5833333333333334
org.junit.tests.experimental.theories.extendingwithstubs,5,2,0.6,0.8,1.0,0.4,0.32000000000000006,1.0
org.junit.tests.running.core,4,4,0.5,1.0,0.5,1.0,0.5,0.0
org.junit.experimental.theories,11,113,0.412711182622687,0.825422365245374,0.8487673830594185,1.0,0.7005915808680316,0.03669724770642202
junit.textui,2,9,1.0,0.0,0.0,0.5,0.0,0.0
org.junit.experimental.theories.internal,6,89,0.32209737827715357,0.6441947565543071,0.6751787538304392,1.0,0.43494661295444026,0.3088235294117647
org.junit.tests.validation,3,0,0,0.0,0,0,0.0,-1
org.junit.experimental.max,3,17,0.6666666666666666,0.6666666666666667,0.0,0.6666666666666666,0.0,0.0
org.junit.tests.experimental,24,33,0.05176767676767677,0.10353535353535359,0.8295454545454546,0.5833333333333334,0.05010091444750539,5.6
org.junit.tests.experimental.theories.runner,4,3,0.25,0.5,0.6666666666666667,0.75,0.25,-1
junit.tests.extensions,2,3,0.5,1.0,0.6666666666666667,1.0,0.6666666666666667,-1
org.junit.experimental.theories.suppliers,1,2,1.0,0.0,0.0,1.0,0.0,-1
org.junit.tests.running,21,31,0.055299539170506916,0.11059907834101379,0.9290322580645162,0.7142857142857143,0.07339293677929026,5.2
org.junit.tests.experimental.parallel,1,0,0,0.0,0,0,0.0,-1
junit.samples.money,2,23,1.0,0.0,0.0,0.5,0.0,0.0
org.junit.tests.deprecated,1,0,0,0.0,0,0,0.0,-1
org.junit.matchers,1,43,1.0,0.0,0.0,1.0,0.0,-1
org.junit.samples,1,0,0,0.0,0,0,0.0,-1
