parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.io.output.TaggedOutputStream,4,3,0.5,0.6666666666666666,0.6666666666666667,1.0,0.75,0.5
org.apache.commons.io.serialization.ClosingBase,4,21,0.0,0.5,1.0,0.0,0.5,0.0
org.apache.commons.io.CopyUtils,13,15,0.875,0.13333333333333333,0.2666666666666666,0.9619047619047619,0.9230769230769231,0.23677655677655673
org.apache.commons.io.input.ProxyInputStream,13,123,0.14953271028037382,0.22076297686053784,0.4415259537210756,0.8011462081833933,0.9230769230769231,0.32651708643525795
org.apache.commons.io.output.TeeOutputStream,6,3,0.0,0.5555555555555556,0.8888888888888888,0.6666666666666667,0.3333333333333333,0.19753086419753088
org.apache.commons.io.serialization.FullClassNameMatcher,2,15,0.25,0.9,0.19999999999999996,0.34285714285714286,1.0,0.06857142857142856
org.apache.commons.io.IOExceptionWithCause,2,5,-1,0.5,1.0,0.0,1.0,0.0
org.apache.commons.io.filefilter.CanWriteFileFilter,2,2,1.0,0.75,0.5,1.0,1.0,0.5
org.apache.commons.io.input.CharSequenceReader,9,7,0.0,0.42857142857142855,0.8571428571428571,0.9047619047619048,0.8888888888888888,0.6893424036281178
org.apache.commons.io.filefilter.CanReadFileFilter,2,1,0.0,1.0,0.0,0,0.5,0.0
org.apache.commons.io.input.UnixLineEndingInputStream,6,8,0.0,0.8333333333333334,0.33333333333333326,0.0,0.3333333333333333,0.0
org.apache.commons.io.ByteOrderMark,8,69,0.13114754098360656,0.302536231884058,0.605072463768116,0.736999147485081,1.0,0.445937889963799
org.apache.commons.io.filefilter.NotFileFilter,4,20,0.42857142857142855,0.55,0.8999999999999999,0.7789473684210526,1.0,0.7010526315789473
org.apache.commons.io.HexDump,4,1,0.0,0.75,0.5,0,0.5,0.0
org.apache.commons.io.filefilter.WildcardFileFilter,9,5,0.0,0.4666666666666667,0.9333333333333333,0.4,0.2222222222222222,0.08296296296296296
org.apache.commons.io.comparator.ReverseComparator,4,30,2.0,0.3416666666666667,0.6833333333333333,0.7080459770114942,0.75,0.36287356321839076
org.apache.commons.io.input.ClosedInputStream,2,8,0.3333333333333333,0.875,0.25,0.4285714285714286,1.0,0.10714285714285715
org.apache.commons.io.output.ClosedOutputStream,2,3,0.5,0.8333333333333334,0.33333333333333326,0.6666666666666667,1.0,0.2222222222222222
org.apache.commons.io.filefilter.EmptyFileFilter,2,1,0.0,1.0,0.0,0,0.5,0.0
org.apache.commons.io.filefilter.FalseFileFilter,3,18,2.6,0.5,1.0,0.7254901960784313,1.0,0.7254901960784313
org.apache.commons.io.comparator.AbstractFileComparator,4,47,4.222222222222222,0.2978723404255319,0.5957446808510638,0.8288621646623497,1.0,0.49379022575629344
org.apache.commons.io.filefilter.SizeFileFilter,4,1,0.0,1.0,0.0,0,0.25,0.0
org.apache.commons.io.output.AppendableOutputStream,3,2,0.0,1.0,0.0,0.0,0.3333333333333333,0.0
org.apache.commons.io.input.CloseShieldInputStream,2,1,0.0,1.0,0.0,0,0.5,0.0
org.apache.commons.io.ByteOrderFactory,2,2,-1,0.5,1.0,0.0,1.0,0.0
org.apache.commons.io.serialization.WildcardClassNameMatcher,2,10,0.0,1.0,0.0,0.0,0.5,0.0
