package,number_of_components,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.apache.commons.lang3.reflect.AAClass,2,1,1.0,0.0,0,0.5,0.0,0.0
org.apache.commons.lang3.AnnotationUtils,12,10,0.20833333333333334,0.41666666666666674,0.9111111111111111,0.5833333333333334,0.22145061728395068,0.6666666666666666
org.apache.commons.lang3.text.translate.OctalUnescaper,4,4,0.5625,0.875,0.8333333333333334,0.75,0.546875,0.3333333333333333
org.apache.commons.lang3.text.translate.UnicodeUnescaper,2,6,0.75,0.5,0.7333333333333334,1.0,0.3666666666666667,1.0
org.apache.commons.lang3.tuple.MutableTriple,9,10,0.5555555555555556,0.8888888888888888,0.5333333333333333,0.5555555555555556,0.2633744855967078,0.0
org.apache.commons.lang3.LocaleUtils,10,17,0.37058823529411766,0.7411764705882353,0.8235294117647058,0.7,0.42726643598615915,0.13333333333333333
org.apache.commons.lang3.exception.DefaultExceptionContext,8,36,0.4826388888888889,0.9652777777777778,0.8412698412698413,0.875,0.7105516975308642,0.0
org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker,6,5,0.5,1.0,0.7,0.8333333333333334,0.5833333333333334,0.0
org.apache.commons.lang3.text.FormattableUtils,6,5,0.3,0.6,0.9,0.8333333333333334,0.45000000000000007,0.25
org.apache.commons.lang3.builder.DiffResult,7,44,0.36363636363636365,0.7272727272727273,0.686046511627907,1.0,0.4989429175475687,0.023255813953488372
org.apache.commons.lang3.text.WordUtils,15,16,0.14583333333333334,0.29166666666666674,0.9833333333333333,1.0,0.2868055555555556,0.45454545454545453
org.apache.commons.lang3.tuple.MutablePair,8,9,0.5138888888888888,0.9722222222222223,0.7222222222222222,0.875,0.6143904320987654,0.0
org.apache.commons.lang3.text.translate.NumericEntityEscaper,7,9,0.42857142857142855,0.8571428571428571,0.9444444444444444,1.0,0.8095238095238094,0.2857142857142857
org.apache.commons.lang3.SystemUtils,16,63,0.07242063492063493,0.14484126984126988,0.34715821812596004,0.8125,0.04085480518372225,30.5
org.apache.commons.lang3.CharSetUtils,8,11,0.2840909090909091,0.5681818181818182,0.9090909090909091,1.0,0.5165289256198348,0.1
org.apache.commons.lang3.text.translate.UnicodeEscaper,8,12,0.20833333333333334,0.41666666666666674,0.5757575757575757,0.875,0.2099116161616162,3.0
org.apache.commons.lang3.event.EventUtils,6,8,0.4166666666666667,0.8333333333333334,0.6785714285714286,0.5,0.2827380952380953,1.6666666666666667
org.apache.commons.lang3.text.translate.CharSequenceTranslator,5,47,0.4808510638297872,0.9617021276595744,0.6743755781683627,1.0,0.64854842836617,0.09302325581395349
org.apache.commons.lang3.text.translate.AggregateTranslator,2,27,0.5555555555555556,0.8888888888888888,0.20512820512820518,1.0,0.18233618233618237,8.0
