parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.apache.wicket.ajax.markup.html,104,137,0.0,0.11412128017967434,0.22824256035934865,0.8780592528982396,0.25,0.05010262300717776
org.apache.wicket.core.request.mapper,143,1579,0.0,0.2511016532549148,0.5022033065098296,0.8499242674166881,0.6853146853146853,0.29251614114126806
org.apache.wicket.ajax.form,84,62,0.0,0.0988863287250384,0.19777265745007677,0.7160232681121099,0.20238095238095238,0.02865913115500659
org.apache.wicket.core.util.resource.locator,58,843,0.0,0.6709616721888166,0.6580766556223667,0.4377083315722887,0.43103448275862066,0.1241576012841111
org.apache.wicket.protocol.https,38,14,0.0,0.35902255639097747,0.7180451127819549,0.9560439560439561,0.5263157894736842,0.3613066790747836
org.apache.wicket.application,33,1463,0.008270158511371467,0.4972555355330475,0.994511071066095,0.7133113844180156,0.36363636363636365,0.25796220688043625
org.apache.wicket.validation.validator,82,37,0.0,0.11667765326301911,0.2333553065260382,0.9429429429429429,0.2926829268292683,0.0644021676547361
org.apache.wicket.core.util.objects.checker,50,12,0.0,0.2783333333333333,0.5566666666666666,1.0,0.4,0.22266666666666668
org.apache.wicket.intercept,13,1,0.0,0.9230769230769231,0.15384615384615374,0,0.15384615384615385,0.0
org.apache.wicket.page.expirationrecovery,11,3,0.0,0.7575757575757576,0.48484848484848486,0.6666666666666667,0.18181818181818182,0.05876951331496787
org.apache.wicket.mock,109,1525,0.015989340439706862,0.16164836817566552,0.32329673635133105,0.91132309281012,0.42201834862385323,0.1243383298778642
org.apache.wicket.protocol.http.documentvalidation,32,4,0.0,0.78125,0.4375,0.8333333333333334,0.125,0.04557291666666667
org.apache.wicket.markup.html.form.validation.innerfeedback,15,1,0.0,1.0,0.0,0,0.06666666666666667,0.0
org.apache.wicket.core.request.handler.logger,30,912,0.1273176761433869,0.11041666666666666,0.22083333333333333,0.6211436247039113,0.2,0.02743384342442275
